file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042.out,157.90,67.26,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed1014.out,44.10,18.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed1165.out,37.78,16.46,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed1776.out,67.73,30.93,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed2373.out,37.23,16.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed3020.out,34.68,16.27,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed3069.out,31.97,15.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed3221.out,51.28,21.90,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed5149.out,50.57,25.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed5991.out,43.30,20.14,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_x__seed9398.out,33.41,15.32,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed1099.out,20.15,9.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed1393.out,39.92,19.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed1890.out,39.98,18.09,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed2186.out,45.22,18.31,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed3175.out,45.62,20.80,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed3996.out,48.87,22.46,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed4224.out,37.76,17.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed5792.out,35.67,15.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed9129.out,25.83,11.87,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_linear_y__seed9828.out,48.39,21.40,5.000000000000e+02
