filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_mixed__seed3678.out,Optimal solution found,5.120000000000e+02,0.0000%,3.53,2.77,0.00%,38129,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_x__seed2307.out,Optimal solution found,5.120000000000e+02,0.0000%,34.27,21.61,0.81%,26985,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_linear_x__seed9499.out,Optimal solution found,5.120000000000e+02,0.0000%,111.41,68.57,2.51%,399406,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_x__seed2042.out,Optimal solution found,5.120000000000e+02,0.0000%,35.39,20.57,0.23%,40411,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_y__seed9076.out,Optimal solution found,5.120000000000e+02,0.0000%,3.45,2.85,0.00%,35486,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed8287.out,Optimal solution found,5.120000000000e+02,0.0000%,219.83,136.62,11.8%,885336,308
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed8414.out,Optimal solution found,5.120000000000e+02,0.0000%,47.26,29.85,2.51%,60088,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_only_y__seed9950.out,Optimal solution found,5.120000000000e+02,0.0000%,411.05,223.00,33.2%,3374926,2390
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_x_and_y__seed8833.out,Optimal solution found,5.120000000000e+02,0.0000%,132.08,77.72,34.6%,449142,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_linear_y__seed3248.out,Optimal solution found,5.120000000000e+02,0.0000%,84.79,43.52,0.81%,42755,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_mixed__seed5060.out,Optimal solution found,5.120000000000e+02,0.0000%,5.04,3.50,0.00%,30712,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_x__seed5473.out,Optimal solution found,5.120000000000e+02,0.0000%,64.31,36.53,0.42%,39390,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_y__seed6099.out,Optimal solution found,5.120000000000e+02,0.0000%,218.26,116.49,33.1%,676228,1
